time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.089845474679345e-07,-8.928938927280975e-08,10.003040661757108,6.283002901885107,6.28259707652963,0.0,-2.290394585237036e-05,-1.145587089390853e-05,0.10135103513861898,-0.009944838918184597,-0.05158138745558412,0.0,438.99963263085476,434.6991602488433,438.21517652103023,437.38793855835104
0.12000000000000001,2.527096579839325e-05,-6.392061796415437e-06,10.015131099171997,3.529509864819147e-05,6.27940725627483,0.0,0.001262526326378595,-0.0002107282426913156,0.3016307617167152,0.022177185775488786,-0.05653115558574151,0.0,467.19568151430764,466.80794639148803,467.06910492830804,469.5671733361987
0.18,0.00017137280200280104,-1.4514485203773183e-05,10.031580470413617,0.0009712453387402675,6.276256787849443,0.0,0.0038654200038632236,3.3670395444814285e-05,0.24669450027691947,-0.0027230375702708438,-0.04548143610769047,0.0,383.6125592749651,384.6578879086558,386.4662857928301,384.1124911354409
0.23999999999999996,0.0005772534408065053,9.425003782947346e-06,10.052120641944326,0.0006442668181936284,6.273494226174268,0.0,0.009980687271279612,0.0007366870858332744,0.437921031246345,-0.011552824042551764,-0.04718915545807665,0.0,465.1717370226103,465.03686534512417,465.32299255189577,464.63146770919695
0.3,0.0013999461548707304,6.517965906755819e-05,10.082664187834462,6.282645879107928,6.270803840184531,0.0,0.01774024211544166,0.0010308322327026594,0.5801319856380533,-0.04591778734031496,-0.0405137058390918,0.0,449.8001444907327,450.33920089121506,451.9769766626163,449.19912471810136
0.36000000000000004,0.0027509083550070787,0.00010355328749397543,10.122166788506505,6.279519803544561,6.268625019639526,0.0,0.02754380548555936,-7.128994578022843e-05,0.7365292679667275,-0.06884146335879761,-0.029016878888523105,0.0,454.33628675479963,455.2563903082475,455.78975399859655,453.9523985987914
0.4200000000000001,0.004701179767562453,1.04208817277003e-05,10.168764212613892,6.274980943544824,6.267614142678092,0.0,0.03759357778787062,-0.0034566642059809007,0.816659717070179,-0.09491477171766485,0.0003174582712561075,0.0,429.48552483298306,431.96596968516496,432.6691473589933,430.4636735376348
0.48000000000000015,0.007280939448720955,-0.0003898901237030347,10.220945092284797,6.268874290201943,6.2679028718579985,0.0,0.0483799446445507,-0.010487433301781637,0.9226169617980592,-0.12128211962012066,0.012554161471772579,0.0,438.6471656328316,439.6619670539174,440.97865287260976,438.785907248733
0.5400000000000001,0.0104781343689713,-0.0013240042374115634,10.278116207988282,6.261670667505701,6.269083542635357,0.0,0.05809658135825801,-0.021344926788963624,0.9830261124895602,-0.11772468572962981,0.031067930672041767,0.0,424.972985108245,426.55674781098736,424.25852441987064,424.5500717714277
0.6000000000000002,0.014286337728644927,-0.0031402758137483514,10.342916974488086,6.254102026054603,6.271380134513798,0.0,0.06859634197326615,-0.0400286340129041,1.1768028230398186,-0.15380602887395756,0.04977461241977034,0.0,466.2948361577892,467.7543398297269,467.94248522788786,465.1109195927474
0.6600000000000003,0.018609119452565086,-0.0061086067403001675,10.414260152901422,6.244726652339764,6.274063534618723,0.0,0.07523585992080058,-0.059759352383422046,1.2012525960267244,-0.1616643934573239,0.03198801619790113,0.0,414.54671492898007,412.9822588302155,414.13988941477567,413.4230010357286
0.7200000000000003,0.023310091884301616,-0.01055910334634033,10.490155518035754,6.235163687000325,6.276927431563376,0.0,0.08119636719924164,-0.0896057590303658,1.3284117565813187,-0.15517605603631174,0.0682523648661119,0.0,445.946101733323,448.89942741673036,446.488635684723,446.99361302044036
0.7800000000000004,0.028293453134629654,-0.016945213668298344,10.57249488892535,6.226329467000063,6.280924209833955,0.0,0.0845087734385017,-0.12416491183186298,1.4160828046636473,-0.13482648975035166,0.06311605717599425,0.0,435.1953316991674,434.7686490072699,434.23561414678784,435.91799346696826
0.8400000000000004,0.033399271379843304,-0.025722696307550117,10.66252785827887,6.218381004428293,0.0014575199204953648,0.0,0.0852628484229743,-0.16930427941452839,1.584740793371254,-0.12814681277698908,0.05959660114917096,0.0,461.235948414656,460.9605452696464,459.7350810091882,460.2484691938447
0.9000000000000005,0.03846243644580621,-0.037516618096131917,10.764616286094151,6.210882874069906,0.004903357724889368,0.0,0.08308125129465319,-0.22472728244981524,1.817796580091751,-0.11927485102127275,0.05270477530996625,0.0,480.97220716284323,480.45200484875494,479.3768931392841,480.03753498683994
0.9600000000000005,0.04330527486600909,-0.05289886593637069,10.881761825234205,6.203768688101473,0.008119638403433882,0.0,0.07794305075250871,-0.28888715800395715,2.0865248180119784,-0.11719690650850924,0.05534569730303693,0.0,491.06600413489844,491.26344757476744,491.3651276961713,491.50797131374463
1.0200000000000005,0.047788423122516535,-0.07201587914918207,11.011337419313325,6.196394256278602,0.011289448927545465,0.0,0.07114291292600348,-0.3491045502463633,2.2323102569991735,-0.13787807284691755,0.047255762223476876,0.0,457.1991281743463,456.55588205490386,456.2883356758025,454.6207560312217
1.0800000000000005,0.05179006874936983,-0.09494956205826141,11.15004901855134,6.188050182232718,0.014522232460173257,0.0,0.061909339304870775,-0.4162430691808136,2.390989569793043,-0.1415575692184881,0.06461273863229108,0.0,459.4368308004759,460.81263869917734,461.7453575280262,461.43782832594957
1.1400000000000006,0.0552403489724465,-0.12159614810530506,11.293071948954427,6.179796584197058,0.018616360110152108,0.0,0.05275845691824208,-0.4726916057247452,2.376381826524444,-0.13057776624680123,0.07463961702201174,0.0,405.7575376925761,406.66064275253797,404.97169686254284,405.9384926659323
